Index Name,Date,Open,High,Low,Close
NIFTY ALPHA 50,02-Aug-10,-,-,-,3669.47
NIFTY ALPHA 50,03-Aug-10,-,-,-,3689.76
NIFTY ALPHA 50,04-Aug-10,-,-,-,3687.96
NIFTY ALPHA 50,05-Aug-10,-,-,-,3693.45
NIFTY ALPHA 50,06-Aug-10,-,-,-,3703.39
NIFTY ALPHA 50,09-Aug-10,-,-,-,3741.57
NIFTY ALPHA 50,10-Aug-10,-,-,-,3727.56
NIFTY ALPHA 50,11-Aug-10,-,-,-,3708.5
NIFTY ALPHA 50,12-Aug-10,-,-,-,3726.56
NIFTY ALPHA 50,13-Aug-10,-,-,-,3764.61
NIFTY ALPHA 50,16-Aug-10,-,-,-,3764.25
NIFTY ALPHA 50,17-Aug-10,-,-,-,3777.93
NIFTY ALPHA 50,18-Aug-10,-,-,-,3821.27
NIFTY ALPHA 50,19-Aug-10,-,-,-,3861.9
NIFTY ALPHA 50,20-Aug-10,-,-,-,3867.66
NIFTY ALPHA 50,23-Aug-10,-,-,-,3908.38
NIFTY ALPHA 50,24-Aug-10,-,-,-,3891.39
NIFTY ALPHA 50,25-Aug-10,-,-,-,3836.84
NIFTY ALPHA 50,26-Aug-10,-,-,-,3847.05
NIFTY ALPHA 50,27-Aug-10,-,-,-,3826.31
NIFTY ALPHA 50,30-Aug-10,-,-,-,3828.34
NIFTY ALPHA 50,31-Aug-10,-,-,-,3802.28
NIFTY ALPHA 50,01-Sep-10,-,-,-,3841.44
NIFTY ALPHA 50,02-Sep-10,-,-,-,3879.13
NIFTY ALPHA 50,03-Sep-10,-,-,-,3926.94
NIFTY ALPHA 50,06-Sep-10,-,-,-,3997.99
NIFTY ALPHA 50,07-Sep-10,-,-,-,3988.59
NIFTY ALPHA 50,08-Sep-10,-,-,-,3978.56
NIFTY ALPHA 50,09-Sep-10,-,-,-,3976.25
NIFTY ALPHA 50,13-Sep-10,-,-,-,4000.8
NIFTY ALPHA 50,14-Sep-10,-,-,-,3998.99
NIFTY ALPHA 50,15-Sep-10,-,-,-,4003.61
NIFTY ALPHA 50,16-Sep-10,-,-,-,3980.86
NIFTY ALPHA 50,17-Sep-10,-,-,-,4064.1
NIFTY ALPHA 50,20-Sep-10,-,-,-,4072.96
NIFTY ALPHA 50,21-Sep-10,-,-,-,4043.43
NIFTY ALPHA 50,22-Sep-10,-,-,-,4016.57
NIFTY ALPHA 50,23-Sep-10,-,-,-,4005.96
NIFTY ALPHA 50,24-Sep-10,-,-,-,4048.58
NIFTY ALPHA 50,27-Sep-10,-,-,-,4066.48
NIFTY ALPHA 50,28-Sep-10,-,-,-,4066.22
NIFTY ALPHA 50,29-Sep-10,-,-,-,4048.55
NIFTY ALPHA 50,30-Sep-10,-,-,-,4030.93
NIFTY ALPHA 50,01-Oct-10,-,-,-,4109.64
NIFTY ALPHA 50,04-Oct-10,-,-,-,4142.08
NIFTY ALPHA 50,05-Oct-10,-,-,-,4181.77
NIFTY ALPHA 50,06-Oct-10,-,-,-,4209.86
NIFTY ALPHA 50,07-Oct-10,-,-,-,4192.71
NIFTY ALPHA 50,08-Oct-10,-,-,-,4164.26
NIFTY ALPHA 50,11-Oct-10,-,-,-,4207.3
NIFTY ALPHA 50,12-Oct-10,-,-,-,4183.17
NIFTY ALPHA 50,13-Oct-10,-,-,-,4221.35
NIFTY ALPHA 50,14-Oct-10,-,-,-,4199.26
NIFTY ALPHA 50,15-Oct-10,-,-,-,4144.87
NIFTY ALPHA 50,18-Oct-10,-,-,-,4126.48
NIFTY ALPHA 50,19-Oct-10,-,-,-,4114.96
NIFTY ALPHA 50,20-Oct-10,-,-,-,4114.72
NIFTY ALPHA 50,21-Oct-10,-,-,-,4166.86
NIFTY ALPHA 50,22-Oct-10,-,-,-,4172.1
NIFTY ALPHA 50,25-Oct-10,-,-,-,4217.14
NIFTY ALPHA 50,26-Oct-10,-,-,-,4238.74
NIFTY ALPHA 50,27-Oct-10,-,-,-,4250.29
NIFTY ALPHA 50,28-Oct-10,-,-,-,4219.71
NIFTY ALPHA 50,29-Oct-10,-,-,-,4227.03
NIFTY ALPHA 50,01-Nov-10,-,-,-,4304.67
NIFTY ALPHA 50,02-Nov-10,-,-,-,4316.49
NIFTY ALPHA 50,03-Nov-10,-,-,-,4328.99
NIFTY ALPHA 50,04-Nov-10,-,-,-,4363.6
NIFTY ALPHA 50,05-Nov-10,-,-,-,4384.19
NIFTY ALPHA 50,08-Nov-10,-,-,-,4375.78
NIFTY ALPHA 50,09-Nov-10,-,-,-,4420.55
NIFTY ALPHA 50,10-Nov-10,-,-,-,4434.75
NIFTY ALPHA 50,11-Nov-10,-,-,-,4380.71
NIFTY ALPHA 50,12-Nov-10,-,-,-,4284.22
NIFTY ALPHA 50,15-Nov-10,-,-,-,4314.53
NIFTY ALPHA 50,16-Nov-10,-,-,-,4235.69
NIFTY ALPHA 50,18-Nov-10,-,-,-,4237.85
NIFTY ALPHA 50,19-Nov-10,-,-,-,4174.97
NIFTY ALPHA 50,22-Nov-10,-,-,-,4259.67
NIFTY ALPHA 50,23-Nov-10,-,-,-,4224.35
NIFTY ALPHA 50,24-Nov-10,-,-,-,4189.8
NIFTY ALPHA 50,25-Nov-10,-,-,-,4107.2
NIFTY ALPHA 50,26-Nov-10,-,-,-,4019.68
NIFTY ALPHA 50,29-Nov-10,-,-,-,4053.04
NIFTY ALPHA 50,30-Nov-10,-,-,-,4112.94
NIFTY ALPHA 50,01-Dec-10,-,-,-,4206.91
NIFTY ALPHA 50,02-Dec-10,-,-,-,4242.27
NIFTY ALPHA 50,03-Dec-10,-,-,-,4181.68
NIFTY ALPHA 50,06-Dec-10,-,-,-,4154.82
NIFTY ALPHA 50,07-Dec-10,-,-,-,4101.03
NIFTY ALPHA 50,08-Dec-10,-,-,-,4006.73
NIFTY ALPHA 50,09-Dec-10,-,-,-,3852.72
NIFTY ALPHA 50,10-Dec-10,-,-,-,3901.37
NIFTY ALPHA 50,13-Dec-10,-,-,-,3945.06
NIFTY ALPHA 50,14-Dec-10,-,-,-,4002.21
NIFTY ALPHA 50,15-Dec-10,-,-,-,3946.21
NIFTY ALPHA 50,16-Dec-10,-,-,-,3952
NIFTY ALPHA 50,20-Dec-10,-,-,-,3959.09
NIFTY ALPHA 50,21-Dec-10,-,-,-,3982.22
NIFTY ALPHA 50,22-Dec-10,-,-,-,3976.34
NIFTY ALPHA 50,23-Dec-10,-,-,-,3956.1
NIFTY ALPHA 50,24-Dec-10,-,-,-,3960.18
NIFTY ALPHA 50,27-Dec-10,-,-,-,3946.01
NIFTY ALPHA 50,28-Dec-10,-,-,-,3974.8
NIFTY ALPHA 50,29-Dec-10,-,-,-,3992.53
NIFTY ALPHA 50,30-Dec-10,-,-,-,4017
NIFTY ALPHA 50,31-Dec-10,-,-,-,4066.85
NIFTY ALPHA 50,03-Jan-11,-,-,-,4104.4
NIFTY ALPHA 50,04-Jan-11,-,-,-,4083.72
NIFTY ALPHA 50,05-Jan-11,-,-,-,4011.71
NIFTY ALPHA 50,06-Jan-11,-,-,-,3958.36
NIFTY ALPHA 50,07-Jan-11,-,-,-,3846.81
NIFTY ALPHA 50,10-Jan-11,-,-,-,3757.11
NIFTY ALPHA 50,11-Jan-11,-,-,-,3741.58
NIFTY ALPHA 50,12-Jan-11,-,-,-,3836.73
NIFTY ALPHA 50,13-Jan-11,-,-,-,3795.22
NIFTY ALPHA 50,14-Jan-11,-,-,-,3734.39
NIFTY ALPHA 50,17-Jan-11,-,-,-,3704.25
NIFTY ALPHA 50,18-Jan-11,-,-,-,3738.3
NIFTY ALPHA 50,19-Jan-11,-,-,-,3761.15
NIFTY ALPHA 50,20-Jan-11,-,-,-,3779.94
NIFTY ALPHA 50,21-Jan-11,-,-,-,3783.44
NIFTY ALPHA 50,24-Jan-11,-,-,-,3811.77
NIFTY ALPHA 50,25-Jan-11,-,-,-,3768.07
NIFTY ALPHA 50,27-Jan-11,-,-,-,3689.24
NIFTY ALPHA 50,28-Jan-11,-,-,-,3579.81
NIFTY ALPHA 50,31-Jan-11,-,-,-,3611.75
NIFTY ALPHA 50,01-Feb-11,-,-,-,3536.6
NIFTY ALPHA 50,02-Feb-11,-,-,-,3534.41
NIFTY ALPHA 50,03-Feb-11,-,-,-,3573.65
NIFTY ALPHA 50,04-Feb-11,-,-,-,3511.41
NIFTY ALPHA 50,07-Feb-11,-,-,-,3481.73
NIFTY ALPHA 50,08-Feb-11,-,-,-,3386.04
NIFTY ALPHA 50,09-Feb-11,-,-,-,3284.64
NIFTY ALPHA 50,10-Feb-11,-,-,-,3311.26
NIFTY ALPHA 50,11-Feb-11,-,-,-,3421.41
NIFTY ALPHA 50,14-Feb-11,-,-,-,3553.02
NIFTY ALPHA 50,15-Feb-11,-,-,-,3562.46
NIFTY ALPHA 50,16-Feb-11,-,-,-,3565.83
NIFTY ALPHA 50,17-Feb-11,-,-,-,3598.92
NIFTY ALPHA 50,18-Feb-11,-,-,-,3529.18
NIFTY ALPHA 50,21-Feb-11,-,-,-,3548.82
NIFTY ALPHA 50,22-Feb-11,-,-,-,3506.03
NIFTY ALPHA 50,23-Feb-11,-,-,-,3475.06
NIFTY ALPHA 50,24-Feb-11,-,-,-,3345.14
NIFTY ALPHA 50,25-Feb-11,-,-,-,3364.29
NIFTY ALPHA 50,28-Feb-11,-,-,-,3388.18
NIFTY ALPHA 50,01-Mar-11,-,-,-,3544.92
NIFTY ALPHA 50,03-Mar-11,-,-,-,3542.66
NIFTY ALPHA 50,04-Mar-11,-,-,-,3546.19
NIFTY ALPHA 50,07-Mar-11,-,-,-,3504.87
NIFTY ALPHA 50,08-Mar-11,-,-,-,3544.33
NIFTY ALPHA 50,09-Mar-11,-,-,-,3578.72
NIFTY ALPHA 50,10-Mar-11,-,-,-,3565.11
NIFTY ALPHA 50,11-Mar-11,-,-,-,3535
NIFTY ALPHA 50,14-Mar-11,-,-,-,3566.11
NIFTY ALPHA 50,15-Mar-11,-,-,-,3515.93
NIFTY ALPHA 50,16-Mar-11,-,-,-,3572.78
NIFTY ALPHA 50,17-Mar-11,-,-,-,3568.55
NIFTY ALPHA 50,18-Mar-11,-,-,-,3535.1
NIFTY ALPHA 50,21-Mar-11,-,-,-,3527.69
NIFTY ALPHA 50,22-Mar-11,-,-,-,3565.35
NIFTY ALPHA 50,23-Mar-11,-,-,-,3599.48
NIFTY ALPHA 50,24-Mar-11,-,-,-,3624.08
NIFTY ALPHA 50,25-Mar-11,-,-,-,3666.9
NIFTY ALPHA 50,28-Mar-11,-,-,-,3692.49
NIFTY ALPHA 50,29-Mar-11,-,-,-,3696.89
NIFTY ALPHA 50,30-Mar-11,-,-,-,3750.21
NIFTY ALPHA 50,31-Mar-11,-,-,-,3764.06
NIFTY ALPHA 50,01-Apr-11,-,-,-,3816.43
NIFTY ALPHA 50,04-Apr-11,-,-,-,3876.86
NIFTY ALPHA 50,05-Apr-11,-,-,-,3918.04
NIFTY ALPHA 50,06-Apr-11,-,-,-,3908.45
NIFTY ALPHA 50,07-Apr-11,-,-,-,3926.31
NIFTY ALPHA 50,08-Apr-11,-,-,-,3877.26
NIFTY ALPHA 50,11-Apr-11,-,-,-,3859.07
NIFTY ALPHA 50,13-Apr-11,-,-,-,3928.72
NIFTY ALPHA 50,15-Apr-11,-,-,-,3931.34
NIFTY ALPHA 50,18-Apr-11,-,-,-,3877.99
NIFTY ALPHA 50,19-Apr-11,-,-,-,3916.43
NIFTY ALPHA 50,20-Apr-11,-,-,-,3971.52
NIFTY ALPHA 50,21-Apr-11,-,-,-,3943.89
NIFTY ALPHA 50,25-Apr-11,-,-,-,3965.26
NIFTY ALPHA 50,26-Apr-11,-,-,-,3954.27
NIFTY ALPHA 50,27-Apr-11,-,-,-,3970.67
NIFTY ALPHA 50,28-Apr-11,-,-,-,3941.49
NIFTY ALPHA 50,29-Apr-11,-,-,-,3885.14
NIFTY ALPHA 50,02-May-11,-,-,-,3841.89
NIFTY ALPHA 50,03-May-11,-,-,-,3767.9
NIFTY ALPHA 50,04-May-11,-,-,-,3760.48
NIFTY ALPHA 50,05-May-11,-,-,-,3713.47
NIFTY ALPHA 50,06-May-11,-,-,-,3801.12
NIFTY ALPHA 50,09-May-11,-,-,-,3827.47
NIFTY ALPHA 50,10-May-11,-,-,-,3825.85
NIFTY ALPHA 50,11-May-11,-,-,-,3867.3
NIFTY ALPHA 50,12-May-11,-,-,-,3803.95
NIFTY ALPHA 50,13-May-11,-,-,-,3833.13
NIFTY ALPHA 50,16-May-11,-,-,-,3807.5
NIFTY ALPHA 50,17-May-11,-,-,-,3780.36
NIFTY ALPHA 50,18-May-11,-,-,-,3751.97
NIFTY ALPHA 50,19-May-11,-,-,-,3727.82
NIFTY ALPHA 50,20-May-11,-,-,-,3760.96
NIFTY ALPHA 50,23-May-11,-,-,-,3694.57
NIFTY ALPHA 50,24-May-11,-,-,-,3718.89
NIFTY ALPHA 50,25-May-11,-,-,-,3706.33
NIFTY ALPHA 50,26-May-11,-,-,-,3738.68
NIFTY ALPHA 50,27-May-11,-,-,-,3794.17
NIFTY ALPHA 50,30-May-11,-,-,-,3830.68
NIFTY ALPHA 50,31-May-11,-,-,-,3902.24
NIFTY ALPHA 50,01-Jun-11,-,-,-,3926.9
NIFTY ALPHA 50,02-Jun-11,-,-,-,3886.79
NIFTY ALPHA 50,03-Jun-11,-,-,-,3871.07
NIFTY ALPHA 50,06-Jun-11,-,-,-,3877.74
NIFTY ALPHA 50,07-Jun-11,-,-,-,3916.9
NIFTY ALPHA 50,08-Jun-11,-,-,-,3947.45
NIFTY ALPHA 50,09-Jun-11,-,-,-,3948.15
NIFTY ALPHA 50,10-Jun-11,-,-,-,3947.52
NIFTY ALPHA 50,13-Jun-11,-,-,-,3949.94
NIFTY ALPHA 50,14-Jun-11,-,-,-,3972.76
NIFTY ALPHA 50,15-Jun-11,-,-,-,3946.57
NIFTY ALPHA 50,16-Jun-11,-,-,-,3910.86
NIFTY ALPHA 50,17-Jun-11,-,-,-,3882.98
NIFTY ALPHA 50,20-Jun-11,-,-,-,3784.81
NIFTY ALPHA 50,21-Jun-11,-,-,-,3766.17
NIFTY ALPHA 50,22-Jun-11,-,-,-,3744.91
NIFTY ALPHA 50,23-Jun-11,-,-,-,3745.62
NIFTY ALPHA 50,24-Jun-11,-,-,-,3830.89
NIFTY ALPHA 50,27-Jun-11,-,-,-,3866.93
NIFTY ALPHA 50,28-Jun-11,-,-,-,3883.91
NIFTY ALPHA 50,29-Jun-11,-,-,-,3921.28
NIFTY ALPHA 50,30-Jun-11,-,-,-,3957.4
NIFTY ALPHA 50,01-Jul-11,-,-,-,3954.47
NIFTY ALPHA 50,04-Jul-11,-,-,-,3967.15
NIFTY ALPHA 50,05-Jul-11,-,-,-,3960.46
NIFTY ALPHA 50,06-Jul-11,-,-,-,3983.78
NIFTY ALPHA 50,07-Jul-11,-,-,-,4022.75
NIFTY ALPHA 50,08-Jul-11,-,-,-,3987.71
NIFTY ALPHA 50,11-Jul-11,-,-,-,3983.11
NIFTY ALPHA 50,12-Jul-11,-,-,-,3930.69
NIFTY ALPHA 50,13-Jul-11,-,-,-,3999.71
NIFTY ALPHA 50,14-Jul-11,-,-,-,4020.51
NIFTY ALPHA 50,15-Jul-11,-,-,-,4023.34
NIFTY ALPHA 50,18-Jul-11,-,-,-,4034.17
NIFTY ALPHA 50,19-Jul-11,-,-,-,4059.68
NIFTY ALPHA 50,20-Jul-11,-,-,-,4028.87
NIFTY ALPHA 50,21-Jul-11,-,-,-,4014.89
NIFTY ALPHA 50,22-Jul-11,-,-,-,4072.56
NIFTY ALPHA 50,25-Jul-11,-,-,-,4100.38
NIFTY ALPHA 50,26-Jul-11,-,-,-,4052.01
NIFTY ALPHA 50,27-Jul-11,-,-,-,4076.92
NIFTY ALPHA 50,28-Jul-11,-,-,-,4069.34
NIFTY ALPHA 50,29-Jul-11,-,-,-,4043.56
NIFTY ALPHA 50,01-Aug-11,-,-,-,4063.47
NIFTY ALPHA 50,02-Aug-11,-,-,-,3990.81
NIFTY ALPHA 50,03-Aug-11,-,-,-,3969.31
NIFTY ALPHA 50,04-Aug-11,-,-,-,3933.34
NIFTY ALPHA 50,05-Aug-11,-,-,-,3856.4
NIFTY ALPHA 50,08-Aug-11,-,-,-,3800.57
NIFTY ALPHA 50,09-Aug-11,-,-,-,3759.61
NIFTY ALPHA 50,10-Aug-11,-,-,-,3849.66
NIFTY ALPHA 50,11-Aug-11,-,-,-,3840.4
NIFTY ALPHA 50,12-Aug-11,-,-,-,3837.67
NIFTY ALPHA 50,16-Aug-11,-,-,-,3843.8
NIFTY ALPHA 50,17-Aug-11,-,-,-,3850.37
NIFTY ALPHA 50,18-Aug-11,-,-,-,3725.55
NIFTY ALPHA 50,19-Aug-11,-,-,-,3681.29
NIFTY ALPHA 50,22-Aug-11,-,-,-,3748.13
NIFTY ALPHA 50,23-Aug-11,-,-,-,3811.19
NIFTY ALPHA 50,24-Aug-11,-,-,-,3777.19
NIFTY ALPHA 50,25-Aug-11,-,-,-,3755.21
NIFTY ALPHA 50,26-Aug-11,-,-,-,3676.97
NIFTY ALPHA 50,29-Aug-11,-,-,-,3779.29
NIFTY ALPHA 50,30-Aug-11,-,-,-,3833.92
NIFTY ALPHA 50,02-Sep-11,-,-,-,3881.69
NIFTY ALPHA 50,05-Sep-11,-,-,-,3906.29
NIFTY ALPHA 50,06-Sep-11,-,-,-,3919.76
NIFTY ALPHA 50,07-Sep-11,-,-,-,3938.73
NIFTY ALPHA 50,08-Sep-11,-,-,-,3945.3
NIFTY ALPHA 50,09-Sep-11,-,-,-,3930.87
NIFTY ALPHA 50,12-Sep-11,-,-,-,3848.47
NIFTY ALPHA 50,13-Sep-11,-,-,-,3835.24
NIFTY ALPHA 50,14-Sep-11,-,-,-,3853.66
NIFTY ALPHA 50,15-Sep-11,-,-,-,3897.02
NIFTY ALPHA 50,16-Sep-11,-,-,-,3894.65
NIFTY ALPHA 50,19-Sep-11,-,-,-,3872.18
NIFTY ALPHA 50,20-Sep-11,-,-,-,3942.07
NIFTY ALPHA 50,21-Sep-11,-,-,-,3986.41
NIFTY ALPHA 50,22-Sep-11,-,-,-,3849.09
NIFTY ALPHA 50,23-Sep-11,-,-,-,3819.11
NIFTY ALPHA 50,26-Sep-11,-,-,-,3765.12
NIFTY ALPHA 50,27-Sep-11,-,-,-,3853.53
NIFTY ALPHA 50,28-Sep-11,-,-,-,3821.19
NIFTY ALPHA 50,29-Sep-11,-,-,-,3805.64
NIFTY ALPHA 50,30-Sep-11,-,-,-,3790.67
NIFTY ALPHA 50,03-Oct-11,-,-,-,3741.76
NIFTY ALPHA 50,04-Oct-11,-,-,-,3692.52
NIFTY ALPHA 50,05-Oct-11,-,-,-,3623.71
NIFTY ALPHA 50,07-Oct-11,-,-,-,3688.61
NIFTY ALPHA 50,10-Oct-11,-,-,-,3775.76
NIFTY ALPHA 50,11-Oct-11,-,-,-,3813.29
NIFTY ALPHA 50,12-Oct-11,-,-,-,3894.88
NIFTY ALPHA 50,13-Oct-11,-,-,-,3885.04
NIFTY ALPHA 50,14-Oct-11,-,-,-,3916.57
NIFTY ALPHA 50,17-Oct-11,-,-,-,3931.21
NIFTY ALPHA 50,18-Oct-11,-,-,-,3861.23
NIFTY ALPHA 50,19-Oct-11,-,-,-,3925.61
NIFTY ALPHA 50,20-Oct-11,-,-,-,3899.38
NIFTY ALPHA 50,21-Oct-11,-,-,-,3878.63
NIFTY ALPHA 50,24-Oct-11,-,-,-,3877.01
NIFTY ALPHA 50,25-Oct-11,-,-,-,3891.24
NIFTY ALPHA 50,26-Oct-11,-,-,-,3920.69
NIFTY ALPHA 50,28-Oct-11,-,-,-,3947.14
NIFTY ALPHA 50,31-Oct-11,-,-,-,3951.31
NIFTY ALPHA 50,01-Nov-11,-,-,-,3945.68
NIFTY ALPHA 50,02-Nov-11,-,-,-,3945.94
NIFTY ALPHA 50,03-Nov-11,-,-,-,3929.48
NIFTY ALPHA 50,04-Nov-11,-,-,-,3954.18
NIFTY ALPHA 50,08-Nov-11,-,-,-,3942.24
NIFTY ALPHA 50,09-Nov-11,-,-,-,3880.13
NIFTY ALPHA 50,11-Nov-11,-,-,-,3838.74
NIFTY ALPHA 50,14-Nov-11,-,-,-,3779.18
NIFTY ALPHA 50,15-Nov-11,-,-,-,3682.89
NIFTY ALPHA 50,16-Nov-11,-,-,-,3646.91
NIFTY ALPHA 50,17-Nov-11,-,-,-,3601.7
NIFTY ALPHA 50,18-Nov-11,-,-,-,3616.94
